#[0]step() [1]time(s) [2]m0_rho(C/m^3*vol) [3]m1_rho_cos(C/m^3*vol) [4]m1_rho_sin(C/m^3*vol) [5]m1_rho_ratio()
640 3.19999999999998e-09 3.22120662750931e+09 2.81805768329605e+06 1.41467173554969e+06 9.78891531971070e-04
672 3.35999999999998e-09 3.22120662750931e+09 2.81621891790565e+06 1.42065888562381e+06 9.79217132115694e-04
704 3.51999999999997e-09 3.22120662750931e+09 2.81443028050569e+06 1.42740999539566e+06 9.79667617190693e-04
736 3.67999999999997e-09 3.22120662750931e+09 2.81276928963152e+06 1.43501672427535e+06 9.80278677605457e-04
768 3.83999999999997e-09 3.22120662750931e+09 2.81124787890828e+06 1.44342325578606e+06 9.81047249850375e-04
800 3.99999999999996e-09 3.22120662750931e+09 2.80979148983927e+06 1.45268312390506e+06 9.81961952615651e-04
832 4.15999999999996e-09 3.22120662750931e+09 2.80853213632022e+06 1.46286728143251e+06 9.83071197292154e-04
864 4.31999999999995e-09 3.22120662750931e+09 2.80740802991010e+06 1.47398984764671e+06 9.84362072342301e-04
896 4.47999999999995e-09 3.22120662750931e+09 2.80637543381284e+06 1.48609431651258e+06 9.85831200204814e-04
928 4.63999999999995e-09 3.22120662750931e+09 2.80541233331049e+06 1.49925011732936e+06 9.87485368688065e-04
960 4.79999999999994e-09 3.22120662750931e+09 2.80443331606868e+06 1.51341981303918e+06 9.89298818011935e-04
992 4.95999999999994e-09 3.22120662750931e+09 2.80343543207950e+06 1.52853327366459e+06 9.91263642578125e-04
1024 5.11999999999994e-09 3.22120662750931e+09 2.80244257329233e+06 1.54460288115287e+06 9.93391452272058e-04
1056 5.27999999999993e-09 3.22120662750931e+09 2.80149964268770e+06 1.56162457016504e+06 9.95697223742538e-04
1088 5.43999999999993e-09 3.22120662750931e+09 2.80060785569981e+06 1.57956541837883e+06 9.98179711883129e-04
1120 5.59999999999992e-09 3.22120662750931e+09 2.79971546384203e+06 1.59841629000902e+06 1.00082699481224e-03
1152 5.75999999999992e-09 3.22120662750931e+09 2.79880678311282e+06 1.61810910329509e+06 1.00362791655633e-03
1184 5.91999999999992e-09 3.22120662750931e+09 2.79791031920327e+06 1.63860954934216e+06 1.00658821467426e-03
1216 6.07999999999991e-09 3.22120662750931e+09 2.79697842932220e+06 1.65988553195536e+06 1.00969342082074e-03
1248 6.23999999999991e-09 3.22120662750931e+09 2.79598575654494e+06 1.68186762812722e+06 1.01292906670247e-03
1280 6.39999999999990e-09 3.22120662750931e+09 2.79486956758649e+06 1.70453223956645e+06 1.01627789805337e-03
1312 6.55999999999990e-09 3.22120662750931e+09 2.79366030164044e+06 1.72778764747560e+06 1.01973628411277e-03
1344 6.71999999999990e-09 3.22120662750931e+09 2.79235192962200e+06 1.75159326325750e+06 1.02329874645826e-03
1376 6.87999999999989e-09 3.22120662750931e+09 2.79092779796133e+06 1.77588963185394e+06 1.02695365541228e-03
1408 7.03999999999989e-09 3.22120662750931e+09 2.78935481817595e+06 1.80053443786263e+06 1.03067082719372e-03
1440 7.19999999999988e-09 3.22120662750931e+09 2.78758430988039e+06 1.82550670145595e+06 1.03443584520425e-03
1472 7.35999999999988e-09 3.22120662750931e+09 2.78561857063477e+06 1.85076770985627e+06 1.03824450679104e-03
1504 7.51999999999989e-09 3.22120662750931e+09 2.78347275884061e+06 1.87622620618224e+06 1.04208653065848e-03
1536 7.67999999999991e-09 3.22120662750931e+09 2.78112843065689e+06 1.90177088763738e+06 1.04593881518095e-03
1568 7.83999999999993e-09 3.22120662750931e+09 2.77858005302776e+06 1.92734233486009e+06 1.04979005691774e-03
1600 7.99999999999996e-09 3.22120662750931e+09 2.77582612240015e+06 1.95280041094840e+06 1.05361518370490e-03
1632 8.15999999999998e-09 3.22120662750931e+09 2.77287725197455e+06 1.97808243726504e+06 1.05740522648345e-03
1664 8.32000000000000e-09 3.22120662750931e+09 2.76964508629329e+06 2.00312405709803e+06 1.06112557109577e-03
1696 8.48000000000002e-09 3.22120662750931e+09 2.76611125199774e+06 2.02783673077464e+06 1.06475471060554e-03
1728 8.64000000000005e-09 3.22120662750931e+09 2.76235121161297e+06 2.05210991131246e+06 1.06829000216437e-03
1760 8.80000000000007e-09 3.22120662750931e+09 2.75837034267417e+06 2.07591553495407e+06 1.07172582104859e-03
1792 8.96000000000009e-09 3.22120662750931e+09 2.75412434680390e+06 2.09929001337123e+06 1.07505627917094e-03
1824 9.12000000000011e-09 3.22120662750931e+09 2.74961070876017e+06 2.12209207705235e+06 1.07825253868117e-03
1856 9.28000000000014e-09 3.22120662750931e+09 2.74474228375036e+06 2.14422864165688e+06 1.08127351353969e-03
1888 9.44000000000016e-09 3.22120662750931e+09 2.73955548241332e+06 2.16575512548125e+06 1.08413673749807e-03
1920 9.60000000000018e-09 3.22120662750931e+09 2.73402046230112e+06 2.18653577509761e+06 1.08680684555793e-03
1952 9.76000000000020e-09 3.22120662750931e+09 2.72813098527238e+06 2.20653426855099e+06 1.08927305888343e-03
1984 9.92000000000023e-09 3.22120662750931e+09 2.72181975067868e+06 2.22572299184549e+06 1.09151156870441e-03
2016 1.00800000000002e-08 3.22120662750931e+09 2.71507716165238e+06 2.24411492364120e+06 1.09352063934386e-03
2048 1.02400000000003e-08 3.22120662750931e+09 2.70794396448624e+06 2.26166889179671e+06 1.09529994787826e-03
2080 1.04000000000003e-08 3.22120662750931e+09 2.70041216009840e+06 2.27837421219265e+06 1.09684343271922e-03
2112 1.05600000000003e-08 3.22120662750931e+09 2.69247958436182e+06 2.29418479044008e+06 1.09813935398442e-03
2144 1.07200000000003e-08 3.22120662750931e+09 2.68412576060095e+06 2.30918246905732e+06 1.09919745343497e-03
2176 1.08800000000004e-08 3.22120662750931e+09 2.67533402456670e+06 2.32337076525903e+06 1.10001294785688e-03
